CONTA,PETRÓLEO,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,URÂNIO U3O8,ENERGIA HIDRÁULICA,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ENERGIA PRIMÁRIA TOTAL,BIODIESEL,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,NAFTA,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,URÂNIO CONTIDO NO UO2,ELETRICIDADE,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO,ALCATRÃO,ENERGIA SECUNDÁRIA TOTAL,TOTAL,Ano
    CENTRAIS ELÉTRICAS AUTOPRODUTORAS,0,-4397,-216.588408593339,0,0,-1869,-394,-6112,-7332,-20322,-6,-484,-187,0,0,0,0,-305,0,0,12236,0,0,-614,0,-8,10630,-9691,2023-01-01
    CARVOARIAS,0,0,0.0,0,0,0,-7994,0,0,-7994,0,0,0,0,0,0,0,0,0,0,0,4261,0,0,0,0,4261,-3733,2023-01-01
    DESTILARIAS,0,0,0.0,0,0,0,0,-15748,-3559,-19307,0,0,0,0,0,0,0,0,0,0,0,0,19274,0,0,0,19274,-33,2023-01-01
    OUTRAS TRANSFORMAÇÕES,-2482,-1677,0.0,0,0,0,0,0,-2327,-6487,5961,0,0,1593,99,-2896,0,0,0,0,0,0,0,1308,-150,0,5916,-571,2023-01-01
 PERDAS NA DISTRIBUIÇÃO E ARMAZENAGEM  ,0,-177,-6.84,-11,0,0,0,0,0,-195,0,0,0,0,0,0,0,0,-41,0,-9195,-62,-66,0,0,0,-9365,-9561,2023-01-01
 CONSUMO FINAL  ,0,15616,3305.45069160653,0,0,0,18842,33536,11725,83027,5877,49340,2227,25905,8239,6142,3296,1318,7124,0,53002,4198,16660,8641,7651,223,199851,282878,2023-01-01
  CONSUMO FINAL NÃO-ENERGÉTICO,0,641,0.0,0,0,0,0,0,892,1534,0,0,0,0,0,6142,0,0,0,0,0,0,545,0,7651,141,14481,16016,2023-01-01
  CONSUMO FINAL ENERGÉTICO,0,14974,3305.45069160653,0,0,0,18842,33536,10833,81493,5877,49340,2227,25905,8239,0,3296,1318,7124,0,53002,4198,16115,8641,0,81,185369,266862,2023-01-01
    SETOR ENERGÉTICO  ,0,4095,0.0,0,0,0,0,13451,0,17547,0,719,74,0,0,0,0,164,0,0,3168,0,0,3209,0,0,7336,24883,2023-01-01
    RESIDENCIAL  ,0,460,0.0,0,0,0,7534,0,855,8850,0,0,0,0,6350,0,5,0,0,0,14588,340,0,0,0,0,21285,30136,2023-01-01
    COMERCIAL  ,0,129,0.0,0,0,0,83,0,185,399,4,40,15,0,626,0,0,0,0,0,8932,78,0,0,0,0,9699,10098,2023-01-01
